@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
4551,'2018/02/13 20:11:59:287',18,0.509382,0.508781,0.598318,0.459716,0.522865,?
4552,'2018/02/13 20:11:59:288',18,0.508696,0.507464,0.597459,0.459716,0.522865,?
4553,'2018/02/13 20:11:59:310',18,0.507824,0.506633,0.597007,0.459716,0.522865,?
4554,'2018/02/13 20:11:59:328',18,0.507372,0.505638,0.596345,0.459716,0.522865,?
4555,'2018/02/13 20:11:59:329',18,0.506987,0.505658,0.595782,0.459716,0.522865,?
4556,'2018/02/13 20:11:59:347',18,0.506805,0.505963,0.595304,0.459716,0.522865,?
4557,'2018/02/13 20:11:59:348',18,0.505928,0.506511,0.596286,0.459716,0.522865,?
4558,'2018/02/13 20:11:59:365',18,0.505327,0.507265,0.597121,0.459716,0.522865,?
4559,'2018/02/13 20:11:59:383',18,0.505105,0.507906,0.597553,0.459716,0.522865,?
4560,'2018/02/13 20:11:59:389',18,0.505061,0.508739,0.597364,0.459716,0.522865,?
4561,'2018/02/13 20:11:59:407',18,0.504446,0.509448,0.597482,0.459716,0.522865,?
4562,'2018/02/13 20:11:59:424',18,0.504067,0.510627,0.597304,0.459716,0.522865,?
4563,'2018/02/13 20:11:59:433',18,0.50288,0.511629,0.597986,0.459716,0.522865,?
4564,'2018/02/13 20:11:59:493',18,0.501871,0.512769,0.598844,0.459716,0.522865,?
4565,'2018/02/13 20:11:59:519',18,0.500437,0.514604,0.600406,0.459716,0.522865,?
4566,'2018/02/13 20:11:59:537',18,0.499794,0.516452,0.602012,0.459716,0.522865,?
4567,'2018/02/13 20:11:59:543',18,0.499104,0.517734,0.603099,0.459716,0.522865,?
4568,'2018/02/13 20:11:59:559',18,0.498806,0.518824,0.603745,0.459716,0.522865,?
4569,'2018/02/13 20:11:59:560',18,0.498408,0.520039,0.604295,0.459716,0.522865,?
4570,'2018/02/13 20:11:59:578',18,0.498503,0.520494,0.604206,0.459716,0.522865,?
4571,'2018/02/13 20:11:59:580',18,0.498439,0.521747,0.604131,0.459716,0.522865,?
4572,'2018/02/13 20:11:59:599',18,0.498961,0.522812,0.604067,0.459716,0.522865,?
4573,'2018/02/13 20:11:59:601',18,0.499983,0.523429,0.604568,0.459716,0.522865,?
4574,'2018/02/13 20:11:59:619',18,0.500706,0.523953,0.605827,0.459716,0.522865,?
4575,'2018/02/13 20:11:59:622',18,0.501898,0.524975,0.607175,0.459716,0.522865,?
4576,'2018/02/13 20:11:59:669',18,0.503056,0.526133,0.608043,0.459716,0.522865,?
4577,'2018/02/13 20:11:59:671',18,0.504184,0.52654,0.608781,0.459716,0.522865,?
4578,'2018/02/13 20:11:59:699',18,0.505143,0.52602,0.608853,0.459716,0.522865,?
4579,'2018/02/13 20:11:59:701',18,0.505958,0.52529,0.608358,0.459716,0.522865,?
4580,'2018/02/13 20:11:59:719',18,0.506795,0.524381,0.60766,0.459716,0.522865,?
4581,'2018/02/13 20:11:59:737',18,0.507074,0.523897,0.6079,0.459716,0.522865,?
4582,'2018/02/13 20:11:59:764',18,0.507311,0.52262,0.608104,0.459716,0.522865,?
4583,'2018/02/13 20:11:59:782',18,0.507801,0.521824,0.607722,0.459716,0.522865,?
